company,ticker,asset_type,owner_code,date,type,amount
ARW Subtrust ⇒ Fidelity Investments ARW Subtrust DC,,,,07/15/2022,P,1001 - $15000
ARW Subtrust ⇒ Fidelity Investments ARW Subtrust DC,,,,07/15/2022,P,1001 - $15000
ARW Subtrust ⇒ Fidelity Investments ARW Subtrust DC,,,,01/27/2022,P,15001 - $50000
Columbia Income Opp 529 PRT AG FBO DC1,,MF,DC,01/13/2022,S,15001 - $50000
Columbia Income Opp 529 PRT AG FBO DC1,,MF,DC,01/13/2023,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
